"movies.title","roles.actor_id","actors.first_name","actors.last_name"
"Monty Python and the Holy Grail","81465","Graham","Chapman"
"Monty Python and the Holy Grail","89020","John","Cleese"
"Monty Python and the Holy Grail","173491","Terry","Gilliam"
"Monty Python and the Holy Grail","220780","Eric","Idle"
"Monty Python and the Holy Grail","222203","Neil","Innes"
"Monty Python and the Holy Grail","233624","Terry (I)","Jones"
"Monty Python and the Holy Grail","251960","Charles","Knode"
"Monty Python and the Holy Grail","360213","Michael","Palin"
"Monty Python and the Holy Grail","522110","John (I)","Young"
"Monty Python and the Holy Grail","582195","Carol","Cleveland"
"Star Wars: Episode V - The Empire Strikes Back","92035","Kenneth","Colley"
"Star Wars: Episode VI - Return of the Jedi","92035","Kenneth","Colley"
