team;players_used;avg_age;possession;games;goals;assists;cards_yellow;cards_red
ARGENTINA;24;28.4;57.4;7;15;8;17;0
AUSTRALIA;20;28.7;37.8;4;3;3;7;0
BELGIUM;20;30.6;57.0;3;1;1;5;0
BRAZIL;26;28.5;56.2;5;8;6;6;0
CAMEROON;22;28.0;41.7;3;4;4;8;1
CANADA;19;28.2;52.0;3;1;1;8;0
COSTA RICA;22;30.6;31.3;3;3;1;6;0
CROATIA;21;29.2;54.3;7;8;8;8;0
DENMARK;20;27.5;60.0;3;1;1;5;0
ECUADOR;18;25.8;53.3;3;4;2;3;0
ENGLAND;20;27.0;62.8;5;13;11;1;0
FRANCE;24;27.2;51.3;7;16;12;8;0
GERMANY;20;28.1;59.3;3;6;5;3;0
GHANA;20;26.4;42.0;3;5;2;8;0
IRAN;21;29.3;36.7;3;4;2;7;0
JAPAN;22;28.8;35.8;4;5;4;6;0
KOREA REPUBLIC;21;29.0;48.3;4;5;3;6;0
MEXICO;21;29.0;54.0;3;2;1;7;0
MOROCCO;25;27.2;39.0;7;6;4;9;1
NETHERLANDS;21;27.6;53.0;5;10;8;12;1
POLAND;21;28.7;37.3;4;3;1;7;0
PORTUGAL;24;27.8;60.4;5;12;10;6;0
QATAR;20;29.0;43.0;3;1;1;7;0
SAUDI ARABIA;23;28.1;44.7;3;3;2;14;0
SENEGAL;20;27.7;44.8;4;5;2;7;0
SERBIA;22;27.4;51.3;3;5;4;12;0
SPAIN;21;26.4;75.8;4;9;5;2;0
SWITZERLAND;24;28.5;49.0;4;5;4;9;0
TUNISIA;21;27.7;44.3;3;1;1;5;0
UNITED STATES;20;25.4;53.0;4;3;3;5;0
URUGUAY;19;28.5;48.7;3;2;1;8;0
WALES;18;27.7;46.7;3;1;0;5;1
